titre,entreprise,localisation,date_publication_std,url_application,url_valide
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",2021-04-08,https://realpython.github.io/fake-jobs/jobs/senior-python-developer-0.html,True
Software Engineer (Python),Garcia PLC,"Ericberg, AE",2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-engineer-python-10.html,True
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-20.html,True
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-30.html,True
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-developer-python-40.html,True
Python Developer,Rivera and Sons,"East Michaelfort, AA",2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-developer-50.html,True
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",2021-04-08,https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-60.html,True
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",2021-04-08,https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-70.html,True
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",2021-04-08,https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-80.html,True
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",2021-04-08,https://realpython.github.io/fake-jobs/jobs/software-developer-python-90.html,True
